rocblas_sweep: 21 shapes, 30 reps/solution/shape

=== shape 13/21: M=512 K=512 N=512 ===
  55 candidate solutions
M,K,N,solution_index,status,bad_reps,total_reps
4096,4096,4,537657413,clean,0,30
4096,4096,4,537657415,clean,0,30
4096,4096,4,537657416,clean,0,30
4096,4096,4,537657417,clean,0,30
4096,4096,4,537657418,clean,0,30
4096,4096,4,537657419,clean,0,30
4096,4096,4,537657421,clean,0,30
4096,4096,4,537657387,clean,0,30
4096,4096,4,537657388,clean,0,30
4096,4096,4,56,clean,0,30
4096,4096,4,537657422,clean,0,30
4096,4096,4,537657423,clean,0,30
4096,4096,4,537657424,clean,0,30
4096,4096,4,537657426,clean,0,30
4096,4096,4,537657427,clean,0,30
4096,4096,4,537657428,clean,0,30
4096,4096,4,537657429,clean,0,30
4096,4096,4,537657430,clean,0,30
4096,4096,4,537657431,clean,0,30
4096,4096,4,537657433,clean,0,30
4096,4096,4,537657435,clean,0,30
4096,4096,4,537657438,clean,0,30
4096,4096,4,537657439,clean,0,30
4096,4096,4,537657441,clean,0,30
4096,4096,4,537657443,clean,0,30
4096,4096,4,537657444,clean,0,30
4096,4096,4,537657446,clean,0,30
4096,4096,4,537657448,clean,0,30
4096,4096,4,537657449,clean,0,30
4096,4096,4,537657450,clean,0,30
4096,4096,4,537657451,clean,0,30
4096,4096,4,537657452,clean,0,30
4096,4096,4,55,clean,0,30
4096,4096,4,537657389,clean,0,30
4096,4096,4,537657390,clean,0,30
4096,4096,4,537657391,clean,0,30
4096,4096,4,537657392,clean,0,30
  shape done in 1306s

=== shape 20/21: M=800 K=40 N=72 ===
  55 candidate solutions
800,40,72,537657393,broken,2,30
  SOLUTION 537657393: BROKEN (2/30)
800,40,72,537657394,broken,20,30
  SOLUTION 537657394: BROKEN (20/30)
800,40,72,537657395,broken,2,30
  SOLUTION 537657395: BROKEN (2/30)
800,40,72,537657396,broken,30,30
  SOLUTION 537657396: BROKEN (30/30)
800,40,72,537657397,broken,30,30
  SOLUTION 537657397: BROKEN (30/30)
800,40,72,537657398,broken,26,30
  SOLUTION 537657398: BROKEN (26/30)
800,40,72,537657399,broken,25,30
  SOLUTION 537657399: BROKEN (25/30)
800,40,72,537657400,broken,25,30
  SOLUTION 537657400: BROKEN (25/30)
800,40,72,537657401,broken,29,30
  SOLUTION 537657401: BROKEN (29/30)
800,40,72,537657402,broken,30,30
  SOLUTION 537657402: BROKEN (30/30)
800,40,72,537657403,broken,6,30
  SOLUTION 537657403: BROKEN (6/30)
800,40,72,537657404,clean,0,30
800,40,72,537657405,broken,3,30
  SOLUTION 537657405: BROKEN (3/30)
800,40,72,537657407,broken,13,30
  SOLUTION 537657407: BROKEN (13/30)
800,40,72,537657408,broken,28,30
  SOLUTION 537657408: BROKEN (28/30)
800,40,72,537657409,broken,30,30
  SOLUTION 537657409: BROKEN (30/30)
800,40,72,537657410,broken,1,30
  SOLUTION 537657410: BROKEN (1/30)
800,40,72,537657411,clean,0,30
800,40,72,537657413,broken,29,30
  SOLUTION 537657413: BROKEN (29/30)
800,40,72,537657415,broken,30,30
  SOLUTION 537657415: BROKEN (30/30)
800,40,72,537657416,broken,30,30
  SOLUTION 537657416: BROKEN (30/30)
800,40,72,537657417,broken,30,30
  SOLUTION 537657417: BROKEN (30/30)
800,40,72,537657418,broken,20,30
  SOLUTION 537657418: BROKEN (20/30)
800,40,72,537657419,broken,16,30
  SOLUTION 537657419: BROKEN (16/30)
800,40,72,537657421,broken,30,30
  SOLUTION 537657421: BROKEN (30/30)
800,40,72,537657387,clean,0,30
800,40,72,537657388,clean,0,30
800,40,72,56,broken,30,30
  SOLUTION 56: BROKEN (30/30)
800,40,72,537657422,broken,3,30
  SOLUTION 537657422: BROKEN (3/30)
800,40,72,537657423,broken,30,30
  SOLUTION 537657423: BROKEN (30/30)
800,40,72,537657424,broken,1,30
  SOLUTION 537657424: BROKEN (1/30)
800,40,72,537657426,broken,16,30
  SOLUTION 537657426: BROKEN (16/30)
800,40,72,537657427,broken,29,30
  SOLUTION 537657427: BROKEN (29/30)
800,40,72,537657428,broken,1,30
  SOLUTION 537657428: BROKEN (1/30)
800,40,72,537657429,broken,30,30
  SOLUTION 537657429: BROKEN (30/30)
800,40,72,537657430,clean,0,30
800,40,72,537657431,broken,6,30
  SOLUTION 537657431: BROKEN (6/30)
800,40,72,537657433,broken,4,30
  SOLUTION 537657433: BROKEN (4/30)
800,40,72,537657435,broken,2,30
  SOLUTION 537657435: BROKEN (2/30)
800,40,72,537657438,broken,1,30
  SOLUTION 537657438: BROKEN (1/30)
800,40,72,537657439,broken,30,30
  SOLUTION 537657439: BROKEN (30/30)
800,40,72,537657441,broken,30,30
  SOLUTION 537657441: BROKEN (30/30)
800,40,72,537657443,broken,30,30
  SOLUTION 537657443: BROKEN (30/30)
800,40,72,537657444,broken,30,30
  SOLUTION 537657444: BROKEN (30/30)
800,40,72,537657446,broken,30,30
  SOLUTION 537657446: BROKEN (30/30)
800,40,72,537657448,broken,30,30
  SOLUTION 537657448: BROKEN (30/30)
800,40,72,537657449,broken,30,30
  SOLUTION 537657449: BROKEN (30/30)
800,40,72,537657450,broken,30,30
  SOLUTION 537657450: BROKEN (30/30)
800,40,72,537657451,broken,30,30
  SOLUTION 537657451: BROKEN (30/30)
800,40,72,537657452,broken,30,30
  SOLUTION 537657452: BROKEN (30/30)
800,40,72,55,broken,30,30
  SOLUTION 55: BROKEN (30/30)
800,40,72,537657389,broken,6,30
  SOLUTION 537657389: BROKEN (6/30)
800,40,72,537657390,broken,1,30
  SOLUTION 537657390: BROKEN (1/30)
800,40,72,537657391,broken,1,30
  SOLUTION 537657391: BROKEN (1/30)
800,40,72,537657392,broken,5,30
  SOLUTION 537657392: BROKEN (5/30)
  shape done in 4s

=== shape 21/21: M=72 K=800 N=40 ===
  55 candidate solutions
72,800,40,537657393,broken,1,30
  SOLUTION 537657393: BROKEN (1/30)
72,800,40,537657394,broken,21,30
  SOLUTION 537657394: BROKEN (21/30)
72,800,40,537657395,broken,30,30
  SOLUTION 537657395: BROKEN (30/30)
72,800,40,537657396,broken,2,30
  SOLUTION 537657396: BROKEN (2/30)
72,800,40,537657397,clean,0,30
72,800,40,537657398,broken,2,30
  SOLUTION 537657398: BROKEN (2/30)
72,800,40,537657399,broken,2,30
  SOLUTION 537657399: BROKEN (2/30)
72,800,40,537657400,broken,30,30
  SOLUTION 537657400: BROKEN (30/30)
72,800,40,537657401,clean,0,30
72,800,40,537657402,clean,0,30
72,800,40,537657403,broken,30,30
  SOLUTION 537657403: BROKEN (30/30)
72,800,40,537657404,broken,30,30
  SOLUTION 537657404: BROKEN (30/30)
72,800,40,537657405,broken,3,30
  SOLUTION 537657405: BROKEN (3/30)
72,800,40,537657407,broken,30,30
  SOLUTION 537657407: BROKEN (30/30)
72,800,40,537657408,broken,5,30
  SOLUTION 537657408: BROKEN (5/30)
72,800,40,537657409,clean,0,30
72,800,40,537657410,broken,29,30
  SOLUTION 537657410: BROKEN (29/30)
72,800,40,537657411,broken,30,30
  SOLUTION 537657411: BROKEN (30/30)
72,800,40,537657413,broken,30,30
  SOLUTION 537657413: BROKEN (30/30)
72,800,40,537657415,broken,2,30
  SOLUTION 537657415: BROKEN (2/30)
72,800,40,537657416,clean,0,30
72,800,40,537657417,broken,30,30
  SOLUTION 537657417: BROKEN (30/30)
72,800,40,537657418,broken,3,30
  SOLUTION 537657418: BROKEN (3/30)
72,800,40,537657419,clean,0,30
72,800,40,537657421,broken,1,30
  SOLUTION 537657421: BROKEN (1/30)
72,800,40,537657387,clean,0,30
72,800,40,537657388,broken,17,30
  SOLUTION 537657388: BROKEN (17/30)
72,800,40,56,clean,0,30
72,800,40,537657422,broken,15,30
  SOLUTION 537657422: BROKEN (15/30)
72,800,40,537657423,broken,1,30
  SOLUTION 537657423: BROKEN (1/30)
72,800,40,537657424,broken,30,30
  SOLUTION 537657424: BROKEN (30/30)
72,800,40,537657426,broken,30,30
  SOLUTION 537657426: BROKEN (30/30)
72,800,40,537657427,broken,1,30
  SOLUTION 537657427: BROKEN (1/30)
72,800,40,537657428,broken,1,30
  SOLUTION 537657428: BROKEN (1/30)
72,800,40,537657429,broken,1,30
  SOLUTION 537657429: BROKEN (1/30)
72,800,40,537657430,broken,1,30
  SOLUTION 537657430: BROKEN (1/30)
72,800,40,537657431,broken,29,30
  SOLUTION 537657431: BROKEN (29/30)
72,800,40,537657433,broken,30,30
  SOLUTION 537657433: BROKEN (30/30)
72,800,40,537657435,broken,30,30
  SOLUTION 537657435: BROKEN (30/30)
72,800,40,537657438,broken,30,30
  SOLUTION 537657438: BROKEN (30/30)
72,800,40,537657439,clean,0,30
72,800,40,537657441,clean,0,30
72,800,40,537657443,clean,0,30
72,800,40,537657444,clean,0,30
72,800,40,537657446,clean,0,30
72,800,40,537657448,clean,0,30
72,800,40,537657449,clean,0,30
72,800,40,537657450,clean,0,30
72,800,40,537657451,clean,0,30
72,800,40,537657452,clean,0,30
72,800,40,55,clean,0,30
72,800,40,537657389,broken,15,30
  SOLUTION 537657389: BROKEN (15/30)
72,800,40,537657390,broken,1,30
  SOLUTION 537657390: BROKEN (1/30)
72,800,40,537657391,broken,1,30
  SOLUTION 537657391: BROKEN (1/30)
72,800,40,537657392,broken,27,30
  SOLUTION 537657392: BROKEN (27/30)
  shape done in 5s

=== SWEEP COMPLETE in 8515s: 86/450 applicable solutions broken (across 21 shapes) ===
SWEEP_COMPLETE
DONE_EXIT_0
