M,K,N,solution_index,status,bad_reps,total_reps
127,127,127,537657413,broken,1,30
127,127,127,537657415,clean,0,30
127,127,127,537657416,broken,29,30
127,127,127,537657417,broken,1,30
127,127,127,537657418,broken,1,30
127,127,127,537657419,clean,0,30
127,127,127,537657421,broken,30,30
127,127,127,537657422,broken,1,30
127,127,127,537657423,broken,29,30
127,127,127,537657424,broken,1,30
127,127,127,537657426,broken,19,30
127,127,127,537657427,clean,0,30
127,127,127,537657428,broken,30,30
127,127,127,537657429,broken,30,30
127,127,127,537657430,broken,30,30
127,127,127,537657431,broken,7,30
127,127,127,537657433,clean,0,30
127,127,127,537657435,broken,7,30
127,127,127,537657438,broken,30,30
127,127,127,537657439,broken,25,30
127,127,127,537657441,broken,30,30
127,127,127,537657443,broken,30,30
127,127,127,537657444,broken,30,30
127,127,127,537657446,broken,29,30
127,127,127,537657448,broken,30,30
127,127,127,537657449,broken,28,30
127,127,127,537657450,broken,30,30
127,127,127,537657451,broken,30,30
127,127,127,537657452,broken,30,30
127,127,127,55,broken,15,30
127,127,127,56,clean,0,30
127,127,127,537657387,clean,0,30
127,127,127,537657388,broken,30,30
127,127,127,537657389,broken,30,30
127,127,127,537657390,broken,30,30
128,128,1024,537657391,clean,0,30
128,128,1024,537657392,clean,0,30
128,128,1024,537657393,clean,0,30
128,128,1024,537657394,clean,0,30
128,128,1024,537657395,clean,0,30
128,128,1024,537657396,clean,0,30
128,128,1024,537657397,clean,0,30
128,128,1024,537657398,clean,0,30
128,128,1024,537657399,clean,0,30
128,128,1024,537657400,clean,0,30
128,128,1024,537657401,clean,0,30
128,128,1024,537657402,clean,0,30
128,128,1024,537657403,clean,0,30
128,128,1024,537657404,clean,0,30
128,128,1024,537657405,clean,0,30
128,128,1024,537657407,clean,0,30
128,128,1024,537657408,clean,0,30
128,128,1024,537657409,clean,0,30
128,128,1024,537657410,clean,0,30
128,128,1024,537657411,clean,0,30
128,128,1024,537657413,clean,0,30
128,128,1024,537657415,clean,0,30
128,128,1024,537657416,clean,0,30
128,128,1024,537657417,clean,0,30
128,128,1024,537657418,clean,0,30
128,128,1024,537657419,clean,0,30
128,128,1024,537657421,clean,0,30
128,128,1024,537657422,clean,0,30
128,128,1024,537657423,clean,0,30
128,128,1024,537657424,clean,0,30
128,128,1024,537657426,clean,0,30
128,128,1024,537657427,clean,0,30
128,128,1024,537657428,clean,0,30
128,128,1024,537657429,clean,0,30
128,128,1024,537657430,clean,0,30
128,128,1024,537657431,clean,0,30
128,128,1024,537657433,clean,0,30
128,128,1024,537657435,clean,0,30
128,128,1024,537657438,clean,0,30
128,128,1024,537657439,clean,0,30
128,128,1024,537657441,clean,0,30
128,128,1024,537657443,clean,0,30
128,128,1024,537657444,clean,0,30
128,128,1024,537657446,clean,0,30
128,128,1024,537657448,clean,0,30
128,128,1024,537657449,clean,0,30
128,128,1024,537657450,clean,0,30
128,128,1024,537657451,clean,0,30
128,128,1024,537657452,clean,0,30
128,128,1024,55,clean,0,30
128,128,1024,56,clean,0,30
128,128,1024,537657387,clean,0,30
128,128,1024,537657388,clean,0,30
128,128,1024,537657389,clean,0,30
128,128,1024,537657390,clean,0,30
129,129,129,537657391,broken,29,30
129,129,129,537657392,broken,30,30
129,129,129,537657393,broken,30,30
129,129,129,537657394,broken,30,30
129,129,129,537657395,broken,30,30
129,129,129,537657396,broken,6,30
129,129,129,537657397,broken,30,30
129,129,129,537657398,broken,30,30
129,129,129,537657399,broken,30,30
129,129,129,537657400,broken,30,30
129,129,129,537657401,broken,1,30
129,129,129,537657402,broken,29,30
129,129,129,537657403,broken,12,30
129,129,129,537657404,broken,30,30
129,129,129,537657405,broken,30,30
129,129,129,537657407,broken,30,30
129,129,129,537657408,broken,30,30
129,129,129,537657409,broken,30,30
129,129,129,537657410,broken,30,30
129,129,129,537657411,broken,30,30
129,129,129,537657413,broken,30,30
129,129,129,537657415,broken,30,30
129,129,129,537657416,broken,30,30
129,129,129,537657417,broken,30,30
129,129,129,537657418,broken,30,30
129,129,129,537657419,broken,30,30
129,129,129,537657421,broken,30,30
129,129,129,537657422,broken,30,30
129,129,129,537657423,broken,30,30
129,129,129,537657424,broken,30,30
129,129,129,537657426,broken,30,30
129,129,129,537657427,broken,1,30
129,129,129,537657428,broken,30,30
129,129,129,537657429,broken,30,30
129,129,129,537657430,broken,1,30
129,129,129,537657431,broken,30,30
129,129,129,537657433,broken,30,30
129,129,129,537657435,broken,30,30
129,129,129,537657438,broken,30,30
129,129,129,537657439,broken,30,30
129,129,129,537657441,broken,30,30
129,129,129,537657443,broken,30,30
129,129,129,537657444,broken,30,30
129,129,129,537657446,broken,30,30
129,129,129,537657448,broken,30,30
129,129,129,537657449,broken,30,30
129,129,129,537657450,broken,30,30
129,129,129,537657451,broken,30,30
129,129,129,537657452,broken,30,30
129,129,129,55,broken,30,30
129,129,129,56,broken,30,30
129,129,129,537657387,broken,30,30
129,129,129,537657388,broken,30,30
129,129,129,537657389,broken,30,30
129,129,129,537657390,broken,30,30
256,256,256,537657391,clean,0,30
256,256,256,537657392,clean,0,30
256,256,256,537657393,clean,0,30
256,256,256,537657394,clean,0,30
256,256,256,537657395,clean,0,30
256,256,256,537657396,clean,0,30
256,256,256,537657397,clean,0,30
256,256,256,537657398,clean,0,30
256,256,256,537657399,clean,0,30
256,256,256,537657400,clean,0,30
256,256,256,537657401,clean,0,30
256,256,256,537657402,clean,0,30
256,256,256,537657403,clean,0,30
256,256,256,537657404,clean,0,30
256,256,256,537657405,clean,0,30
256,256,256,537657407,clean,0,30
256,256,256,537657408,clean,0,30
256,256,256,537657409,clean,0,30
256,256,256,537657410,clean,0,30
256,256,256,537657411,clean,0,30
256,256,256,537657413,clean,0,30
256,256,256,537657415,clean,0,30
256,256,256,537657416,clean,0,30
256,256,256,537657417,clean,0,30
256,256,256,537657418,clean,0,30
256,256,256,537657419,clean,0,30
256,256,256,537657421,clean,0,30
256,256,256,537657422,clean,0,30
256,256,256,537657423,clean,0,30
256,256,256,537657424,clean,0,30
256,256,256,537657426,clean,0,30
256,256,256,537657427,clean,0,30
256,256,256,537657428,clean,0,30
256,256,256,537657429,clean,0,30
256,256,256,537657430,clean,0,30
256,256,256,537657431,clean,0,30
256,256,256,537657433,clean,0,30
256,256,256,537657435,clean,0,30
256,256,256,537657438,clean,0,30
256,256,256,537657439,clean,0,30
256,256,256,537657441,clean,0,30
256,256,256,537657443,clean,0,30
256,256,256,537657444,clean,0,30
256,256,256,537657446,clean,0,30
256,256,256,537657448,clean,0,30
256,256,256,537657449,clean,0,30
256,256,256,537657450,clean,0,30
